T,55,1,0.8296680E+05,5751409E-03,0.8719E+02,0.2632E+03,0.9919343,0.1008275,0.0768121
T,56,1,0.8381133E+05,5754482E-03,-0.6609E+02,-0.9641E+02,0.9994668,-0.0295971,-0.0137862
T,57,1,0.8201935E+05,5754705E-03,-0.2276E+03,0.2249E+02,0.9967809,-0.0785253,0.0161717
T,58,1,0.8177734E+05,5755278E-03,-0.7028E+03,-0.3376E+03,0.9784147,-0.2032222,-0.0374899
T,59,1,0.8405858E+05,5754736E-03,-0.8958E+02,0.6473E+02,0.9990841,-0.0310214,0.0294721
T,60,1,0.8461321E+05,5751152E-03,-0.1710E+03,0.8770E+02,0.9846078,-0.1721731,-0.0300646
T,61,1,0.8427672E+05,5751551E-03,-0.2409E+03,0.2900E+03,0.9932984,-0.1150223,0.0113176
T,62,1,0.8336147E+05,5753878E-03,-0.9711E+02,-0.3770E+02,0.9957808,-0.0867160,-0.0300142
T,63,1,0.8348849E+05,5752675E-03,0.3844E+03,0.5739E+02,0.9929390,0.0931469,0.0734560
T,64,1,0.8215494E+05,5752233E-03,0.2941E+03,0.1720E+03,0.9951078,0.0411460,-0.0898189
T,65,1,0.8317281E+05,5755062E-03,-0.3245E+02,0.6626E+02,0.9998777,0.0064312,0.0142590
T,66,1,0.8285913E+05,5753674E-03,-0.6123E+02,0.1547E+03,0.9952596,-0.0249661,0.0939946
T,67,1,0.8249630E+05,5755507E-03,0.2471E+03,-0.4109E+02,0.9817421,0.1586943,-0.1048739
T,68,1,0.8295364E+05,5754230E-03,0.1048E+03,0.2569E+03,0.9963167,0.0657511,0.0550443
T,69,1,0.8371673E+05,5755427E-03,0.2056E+01,0.1692E+03,0.9989577,0.0090704,0.0447354
T,70,1,0.8435159E+05,5752121E-03,0.2883E+03,0.1048E+03,0.9959047,0.0896352,-0.0118016
T,71,1,0.8433961E+05,5755415E-03,-0.1835E+02,-0.4479E+02,0.9987492,-0.0014247,-0.0499809
T,72,1,0.8245048E+05,5755318E-03,0.2734E+02,-0.1678E+03,0.9995292,-0.0175314,-0.0251793
T,73,1,0.8292862E+05,5753433E-03,-0.2259E+03,0.1685E+03,0.9975052,-0.0296522,0.0640631
T,74,1,0.8519156E+05,5753021E-03,0.2591E+03,0.1436E+03,0.9972977,0.0733895,0.0033482
T,75,1,0.8274293E+05,5753539E-03,0.1869E+02,0.5629E+00,0.9998169,-0.0048552,-0.0185102
T,76,1,0.8191961E+05,5755582E-03,-0.1701E+03,0.1365E+03,0.9999608,-0.0037088,0.0080380
T,77,1,0.8395877E+05,5753309E-03,-0.3802E+03,-0.2812E+03,0.9966889,-0.0747036,-0.0321026
T,78,1,0.8314858E+05,5754167E-03,-0.5293E+02,-0.1957E+03,0.9990664,-0.0137259,-0.0409622
T,79,1,0.8225218E+05,5753849E-03,-0.3200E+02,0.1930E+03,0.9881813,-0.0573068,0.1421748
T,80,1,0.8263326E+05,5753287E-03,0.6912E+02,-0.1343E+03,0.9942321,0.0240929,-0.1045086
T,81,1,0.8385705E+05,5754154E-03,0.3315E+03,-0.2203E+03,0.9986353,-0.0206769,-0.0479583
T,82,1,0.8199971E+05,5753065E-03,0.3313E+03,0.1364E+04,0.9727673,0.0366640,0.2288656
T,83,1,0.8331680E+05,5753374E-03,0.2075E+03,0.2015E+01,0.9986188,0.0439295,-0.0288201
T,84,1,0.8076165E+05,5755024E-03,-0.1789E+02,-0.9702E+02,0.9989743,-0.0130708,-0.0433527
T,85,1,0.8401047E+05,5753337E-03,-0.4509E+03,0.2580E+03,0.9923967,-0.1095836,0.0560380
T,86,1,0.8278649E+05,5750724E-03,-0.1663E+03,-0.1834E+03,0.9871406,-0.0603730,-0.1480154
T,87,1,0.8559243E+05,5755403E-03,0.1107E+03,0.1365E+03,0.9994906,-0.0022929,0.0318335
T,88,1,0.8287574E+05,5753653E-03,0.1310E+03,-0.3169E+02,0.9986971,0.0236495,-0.0452185
T,89,1,0.8178778E+05,5751415E-03,0.2023E+03,-0.3970E+03,0.9864056,0.1408269,-0.0846865
T,90,1,0.8304223E+05,5754605E-03,-0.8420E+02,0.3739E+02,0.9978430,-0.0654522,0.0050317
T,91,1,0.8359189E+05,5752362E-03,-0.1694E+03,-0.2986E+03,0.9949072,-0.0719894,-0.0705485
T,92,1,0.8324533E+05,5755286E-03,0.2733E+02,0.6444E+02,0.9993777,0.0202584,0.0288758
T,93,1,0.8492456E+05,5754648E-03,-0.4287E+02,-0.9929E+02,0.9983253,-0.0274863,-0.0509031
T,94,1,0.8378069E+05,5754176E-03,0.2383E+02,-0.3102E+02,0.9976745,-0.0083618,0.0676441
T,95,1,0.8412921E+05,5753243E-03,-0.1119E+03,-0.1047E+03,0.9996373,-0.0071114,-0.0259733
T,96,1,0.8231211E+05,5752388E-03,-0.8691E+02,-0.6131E+03,0.9940728,-0.0218555,-0.1064967
T,97,1,0.8369327E+05,5752765E-03,0.3425E+03,0.1692E+03,0.9955965,0.0787725,0.0508185
T,98,1,0.7946640E+05,5753218E-03,0.6265E+03,0.1580E+04,0.9236941,0.1578220,0.3491151
T,99,1,0.8354117E+05,5754603E-03,0.5666E+02,0.4184E+02,0.9980954,0.0612491,-0.0073531
T,100,1,0.8342536E+05,5752291E-03,0.5323E+02,-0.9143E+02,0.9953531,-0.0836660,-0.0476675
T,101,1,0.8293293E+05,5754894E-03,0.2737E+03,0.1682E+03,0.9982125,0.0396675,0.0447028
T,102,1,0.8151253E+05,5754907E-03,-0.7343E+02,-0.1277E+02,0.9993734,0.0336669,0.0109273
T,103,1,0.8279417E+05,5753346E-03,-0.6031E+02,0.1924E+03,0.9952940,-0.0012215,0.0968931
T,104,1,0.8338817E+05,5754555E-03,-0.5667E+01,-0.2230E+03,0.9991539,-0.0284263,-0.0297239
T,105,1,0.8325176E+05,5754708E-03,0.1446E+03,0.8648E+02,0.9980640,0.0563843,0.0262484
T,106,1,0.8099092E+05,5753574E-03,-0.6515E+02,0.1148E+03,0.9983296,0.0200455,0.0541868
T,107,1,0.8272004E+05,5754860E-03,0.1034E+03,0.5929E+02,0.9986806,0.0243159,-0.0452310
T,108,1,0.8501401E+05,5753239E-03,0.3853E+02,0.2103E+03,0.9978093,-0.0178513,0.0637022
T,109,1,0.8242618E+05,5755301E-03,0.1130E+02,-0.6077E+02,0.9988768,0.0069266,-0.0468738
T,110,1,0.8259752E+05,5752928E-03,0.7251E+02,-0.7740E+02,0.9985092,0.0498707,0.0221880
T,111,1,0.8236961E+05,5753217E-03,0.1785E+02,-0.1849E+02,0.9998335,-0.0031493,0.0179714
T,112,1,0.8320858E+05,5754777E-03,0.2266E+03,-0.1681E+02,0.9986253,0.0451795,0.0265764
T,113,1,0.7984001E+05,5750171E-03,0.1645E+03,0.5398E+03,0.8595928,0.3229715,0.3959666
T,114,1,0.8172432E+05,5751248E-03,0.7731E+02,-0.1011E+03,0.9903520,-0.0033704,-0.1385333
T,115,1,0.8452798E+05,5754712E-03,-0.2844E+02,0.9284E+02,0.9986219,0.0234343,0.0469579
T,116,1,0.8088950E+05,5752750E-03,-0.1251E+03,-0.3112E+03,0.9981460,0.0263060,-0.0548867
T,117,1,0.8208330E+05,5754096E-03,0.7660E+02,-0.1935E+03,0.9990980,0.0403528,-0.0132257
T,118,1,0.8231528E+05,5752418E-03,-0.2640E+02,-0.8759E+02,0.9926505,-0.1167325,-0.0319130
T,119,1,0.8442344E+05,5755288E-03,0.1980E+02,0.1610E+03,0.9987313,0.0115816,0.0490062
T,120,1,0.8309401E+05,5752900E-03,0.8420E+02,0.2569E+03,0.9912604,0.0775019,0.1067532
T,121,1,0.8379244E+05,5752484E-03,-0.3956E+03,-0.4795E+03,0.9935253,-0.0666357,-0.0920168
T,122,1,0.8252881E+05,5755587E-03,0.6408E+02,0.3588E+02,0.9999864,-0.0036895,-0.0036746
T,123,1,0.8290119E+05,5753176E-03,-0.3914E+02,-0.1481E+02,0.9997771,-0.0161106,0.0136484
T,124,1,0.8352251E+05,5750606E-03,0.2238E+03,0.1462E+03,0.9819021,0.1599426,0.1014228
T,125,1,0.8409085E+05,5754429E-03,-0.7041E+02,-0.2081E+03,0.9953667,-0.0472487,-0.0837416
T,126,1,0.8350087E+05,5752869E-03,-0.2198E+03,-0.1264E+03,0.9977607,-0.0648017,-0.0165629
T,127,1,0.8352735E+05,5752873E-03,-0.1346E+03,0.1982E+03,0.9965141,-0.0480604,0.0681900
T,128,1,0.8286644E+05,5753659E-03,0.9284E+02,0.3196E+02,0.9977833,0.0292611,0.0597687
T,129,1,0.8216318E+05,5753024E-03,-0.3165E+02,0.1201E+03,0.9978646,-0.0461121,0.0462589
T,130,1,0.8328625E+05,5753642E-03,0.7462E+03,-0.5926E+03,0.9928079,0.0955195,-0.0721701
T,131,1,0.8317549E+05,5752991E-03,-0.2386E+03,-0.2794E+02,0.9964517,-0.0027023,-0.0841233
T,132,1,0.8171836E+05,5751598E-03,0.1638E+03,0.1055E+03,0.9846428,-0.0408268,0.1697399
T,133,1,0.8291816E+05,5753294E-03,0.2430E+03,0.9587E+02,0.9911095,0.1328604,-0.0070733
T,134,1,0.8431438E+05,5752728E-03,-0.5186E+02,-0.4514E+02,0.9960033,0.0849636,-0.0275437
T,135,1,0.8499271E+05,5753232E-03,-0.1324E+03,-0.3177E+02,0.9967586,-0.0650749,0.0473022
T,136,1,0.8067350E+05,5754167E-03,-0.1892E+02,0.9479E+02,0.9754455,0.2133860,0.0545212
T,137,1,0.8328989E+05,5752484E-03,0.9661E+02,-0.7662E+01,0.9972142,0.0492582,0.0560129
T,138,1,0.5427368E+05,5750291E-03,-0.3737E+03,0.4465E+04,0.6961295,-0.1373132,0.7046622
T,139,1,0.8303481E+05,5753727E-03,-0.2432E+03,0.2131E+03,0.9973439,-0.0712808,0.0149722
T,140,1,0.8204233E+05,5755137E-03,0.1208E+03,0.1028E+03,0.9992335,-0.0361105,0.0151123
T,141,1,0.8322551E+05,5754657E-03,-0.2006E+03,0.7953E+02,0.9994336,-0.0264122,0.0208517
T,142,1,0.8246186E+05,5753656E-03,0.1998E+03,-0.2110E+03,0.9916340,0.1029415,-0.0778788
T,143,1,0.8532787E+05,5754892E-03,0.1104E+02,-0.3760E+02,0.9982167,0.0114527,0.0585859
T,144,1,0.8289825E+05,5751435E-03,-0.2198E+02,-0.2583E+03,0.9885591,0.0395948,-0.1455443
T,145,1,0.8151423E+05,5752767E-03,-0.1442E+03,0.7675E+02,0.9908393,-0.1275491,-0.0443704
T,146,1,0.8230463E+05,5754512E-03,-0.1098E+03,0.2625E+02,0.9998335,-0.0141856,0.0114762
T,147,1,0.8172028E+05,5754305E-03,-0.3165E+03,-0.1450E+03,0.9948439,-0.1007831,0.0113284
T,148,1,0.8194583E+05,5754289E-03,0.1299E+01,-0.1871E+03,0.9971442,0.0353095,-0.0667591
T,149,1,0.8381588E+05,5754888E-03,-0.1593E+03,0.1070E+03,0.9974377,-0.0692032,-0.0181357
T,150,1,0.7402098E+05,5754346E-03,0.2451E+04,-0.1749E+04,0.8814179,0.3738478,-0.2886872
T,151,1,0.8200798E+05,5753061E-03,0.3488E+03,0.6552E+03,0.9500161,0.0725642,0.3036508
T,152,1,0.8304247E+05,5754116E-03,0.4807E+02,-0.7839E+02,0.9951882,0.0187193,-0.0961773
T,153,1,0.8235612E+05,5754233E-03,0.9830E+02,-0.4273E+02,0.9996838,-0.0136749,-0.0211041
T,154,1,0.8447035E+05,5754193E-03,-0.2214E+03,-0.1033E+03,0.9986965,-0.0189377,-0.0473982
T,155,1,0.8225756E+05,5754874E-03,0.9275E+02,0.2690E+03,0.9973925,0.0710968,-0.0123893
T,156,1,0.8376049E+05,5755196E-03,-0.4365E+02,0.5769E+02,0.9994020,0.0329453,0.0104968
T,157,1,0.8285274E+05,5753130E-03,0.9054E+02,0.6487E+02,0.9943601,0.0613304,0.0865255
T,158,1,0.8498142E+05,5754801E-03,0.3013E+02,-0.3545E+02,0.9973963,0.0646934,0.0318638
T,159,1,0.8200607E+05,5753664E-03,-0.2671E+03,-0.2499E+03,0.9940264,-0.0891603,-0.0629441
T,160,1,0.8392448E+05,5752533E-03,0.8900E+02,-0.2046E+03,0.9958242,0.0627710,-0.0662865
T,161,1,0.8238976E+05,5753001E-03,0.8316E+02,0.1406E+03,0.9982804,0.0574005,-0.0118887
T,162,1,0.8154374E+05,5753270E-03,-0.1257E+03,0.1393E+02,0.9993390,0.0090384,-0.0352118
T,163,1,0.8240858E+05,5753672E-03,-0.4322E+02,0.1141E+03,0.9991230,0.0137256,0.0395584
T,164,1,0.8272514E+05,5754671E-03,0.6595E+02,0.4052E+02,0.9962720,-0.0059119,-0.0860651
T,165,1,0.8326682E+05,5752610E-03,0.1597E+03,-0.1514E+03,0.9962196,0.0463945,-0.0734448
T,166,1,0.8473493E+05,5751841E-03,0.6044E+01,0.4654E+03,0.9870075,-0.0490254,0.1530124
T,167,1,0.8503778E+05,5753509E-03,0.1342E+02,0.1316E+02,0.9999930,-0.0035935,-0.0010145
T,168,1,0.8319259E+05,5754813E-03,0.1149E+02,0.2501E+02,0.9989368,-0.0336648,0.0314957
T,169,1,0.8378628E+05,5750546E-03,-0.3071E+03,0.2402E+02,0.9866429,-0.1561263,-0.0464804
T,170,1,0.8228975E+05,5751125E-03,-0.1740E+03,0.6024E+02,0.9855118,-0.1135552,-0.1259829
T,171,1,0.8164218E+05,5755900E-03,0.1592E+03,-0.6761E+03,0.9816282,0.0929466,-0.1666343
T,172,1,0.8363029E+05,5752812E-03,-0.6352E+02,0.8998E+02,0.9984713,0.0110512,0.0541560
T,173,1,0.8303007E+05,5753768E-03,-0.1445E+03,-0.1691E+03,0.9954771,0.0192981,-0.0930212
T,174,1,0.8260611E+05,5755586E-03,0.1389E+00,0.2611E+02,0.9997233,-0.0031115,0.0233153
T,175,1,0.8387693E+05,5754141E-03,-0.6636E+02,0.5297E+02,0.9967133,-0.0252496,0.0769748
